yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2018,95918,749039,534,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,1402.694756554307
2019,95918,881023,567,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,1553.8324514991182
2020,95918,1008231,589,06115,4.99,515.38,CALIFORNIA,0.0,0.0,0.0,0.5226502131059924,-1.86,19.0,1360.45,0.0,0.0,0.0,3200163,10.6,1.116,6115.0,1437.0,427705000.0,82001.0,1711.76740237691
2021,95918,1224881,599,06115,,,,,,,,,,,,,,,,,,,,,2044.8764607679466
2021,95919,251203,187,06115,,,,,,,,,,,,,,,,,,,,,1343.331550802139
2018,95919,228836,185,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,1236.9513513513514
2019,95919,217870,170,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,1281.5882352941176
2020,95919,224899,181,06115,4.99,515.38,CALIFORNIA,0.0,0.0,0.0,0.5226502131059924,-1.86,19.0,1360.45,0.0,0.0,0.0,3200163,10.6,1.116,6115.0,1437.0,427705000.0,82001.0,1242.53591160221
2018,95920,36595,21,06021,8.64,354.93,CALIFORNIA,0.0,0.0,0.0,0.4142653962592252,-2.67,6.0,2500.24,0.0,0.0,0.0,1118281,6.6,1.102,6021.0,211.0,44675000.0,27899.0,1742.6190476190477
2019,95920,44418,25,06021,15.16,408.74,CALIFORNIA,4.0,0.0,20.55,0.4857711814396441,1.04,1.0,4.4,0.0,0.0,0.0,1023509,6.2,1.084,6021.0,207.0,48145000.0,28445.0,1776.72
2020,95920,46345,24,06021,3.23,421.96,CALIFORNIA,0.0,0.0,0.0,0.4820679049012049,-3.48,25.0,591834.59,0.0,0.0,0.0,1054825,9.0,1.108,6021.0,195.0,50975000.0,28889.0,1931.0416666666667
2021,95920,33619,24,06021,,,,,,,,,,,,,,,,,,,,,1400.7916666666667
2021,95922,147883,78,06115,,,,,,,,,,,,,,,,,,,,,1895.9358974358975
