county_fips5,yr,index_nsa
08033,2024,
08035,2021,946.97
08035,2022,1121.87
08035,2023,1137.87
08035,2024,1151.63
08037,2021,928.06
08037,2022,1124.22
08037,2023,1265.91
08037,2024,1418.02
08039,2021,715.19
08039,2022,822.41
08039,2023,846.37
08039,2024,863.33
08041,2021,1062.24
08041,2022,1239.06
08041,2023,1235.43
08041,2024,1268.42
08043,2021,469.21
08043,2022,548.72
08043,2023,563.28
08043,2024,592.5
08045,2021,935.26
08045,2022,1100.37
08045,2023,1234.71
08045,2024,1299.18
08047,2021,416.54
08047,2022,485.28
08047,2023,477.69
08047,2024,496.7
08049,2021,556.71
08049,2022,670.71
08049,2023,759.8
08049,2024,772.12
08051,2021,725.75
08051,2022,874.46
08051,2023,967.72
08051,2024,1003.82
08053,2021,201.47
08053,2022,251
08053,2023,
08053,2024,
08055,2021,220.84
08055,2022,264.4
08055,2023,260.18
08055,2024,284.07
08057,2021,176.23
08057,2022,
08057,2023,232.29
08057,2024,249.11
08059,2021,1188.49
08059,2022,1385.81
08059,2023,1415.98
08059,2024,1455.55
08063,2021,326.5
08063,2022,364.52
08063,2023,394.77
08063,2024,408.03
08065,2021,746.69
08065,2022,962.05
08065,2023,1054.69
08065,2024,1055.98
08067,2021,1216.63
08067,2022,1470.63
08067,2023,1580.3
08067,2024,1649.92
08069,2021,1124.45
08069,2022,1323.43
08069,2023,1381.56
08069,2024,1419.73
08071,2021,307.47
08071,2022,357.31
08071,2023,417.88
08071,2024,424.48
08073,2021,234.87
08073,2022,259.24
08073,2023,275.34
08073,2024,289.57
08075,2021,692.62
08075,2022,809.99
08075,2023,857.86
08075,2024,857.25
08077,2021,903.48
08077,2022,1054.96
08077,2023,1109.21
08077,2024,1178.67
08079,2021,179.03
08079,2022,206.24
08079,2023,
08079,2024,
08081,2021,336.19
08081,2022,402.81
08081,2023,418.34
08081,2024,456.76
08083,2021,601.49
08083,2022,720.23
08083,2023,792.97
08083,2024,830.41
08085,2021,558.61
08085,2022,674.09
08085,2023,734.26
08085,2024,730.39
08087,2021,503.51
08087,2022,589.18
08087,2023,610.41
08087,2024,618.33
08089,2021,615.2
08089,2022,730.24
08089,2023,714.87
08089,2024,797.35
08091,2021,357.87
08091,2022,442.74
08091,2023,490.21
08091,2024,555.51
08093,2021,625.71
08093,2022,737.89
08093,2023,758.05
08093,2024,783.41
08095,2021,245.23
08095,2022,285.43
08095,2023,296.18
08095,2024,313.17
08097,2021,721.35
08097,2022,856.83
08097,2023,
08097,2024,1101.41
08099,2021,298.6
08099,2022,362.72
08099,2023,396.73
08099,2024,444.29
08101,2021,729.79
08101,2022,865.62
08101,2023,855.18
08101,2024,876.95
08103,2021,298.2
08103,2022,332.2
08103,2023,357.08
08103,2024,388.67
08105,2021,326.79
08105,2022,359.1
08105,2023,396.71
08105,2024,434.39
08107,2021,686.77
08107,2022,816.69
08107,2023,960.09
08107,2024,1029.37
08109,2021,192.07
08109,2022,
08109,2023,196.79
08109,2024,
08111,2021,179.48
08111,2022,260.09
08111,2023,
08111,2024,300.59
08113,2021,319.9
08113,2022,382.3
08113,2023,
08113,2024,482.9
08115,2021,193.47
08115,2022,208.92
08115,2023,
08115,2024,
08117,2021,884.02
08117,2022,1057.27
08117,2023,1188.35
08117,2024,1285.01
08119,2021,471.43
08119,2022,560.98
08119,2023,584.97
08119,2024,606.4
08121,2021,245.65
08121,2022,313.67
08121,2023,
08121,2024,
08123,2021,1023.84
08123,2022,1183.69
08123,2023,1220.4
08123,2024,1243.29
08125,2021,324.99
08125,2022,390.31
08125,2023,405.15
08125,2024,424.63
09001,2021,786.59
09001,2022,898.83
09001,2023,985.54
09001,2024,1057.67
09003,2021,602.63
09003,2022,685.35
09003,2023,761.67
09003,2024,837.29
09005,2021,621.51
09005,2022,707.57
09005,2023,782.33
09005,2024,839.54
09007,2021,834.86
09007,2022,950.87
09007,2023,1044.25
09007,2024,1134.46
09009,2021,650.28
09009,2022,741.15
09009,2023,819.26
09009,2024,883.49
09011,2021,433.05
09011,2022,486.19
09011,2023,546.37
09011,2024,584.37
09013,2021,569.03
09013,2022,639.46
09013,2023,694.93
09013,2024,761.92
09015,2021,311.17
09015,2022,344.29
09015,2023,378.69
09015,2024,413.45
10001,2021,449.48
10001,2022,521.15
10001,2023,551.72
10001,2024,584.3
10003,2021,644.09
10003,2022,728.45
10003,2023,796.96
10003,2024,852.51
10005,2021,547.22
10005,2022,637.47
10005,2023,672.81
10005,2024,727.51
11001,2021,1871.55
11001,2022,2015.57
11001,2023,1973.01
11001,2024,1975.49
12001,2021,517.95
12001,2022,612.46
12001,2023,673.6
12001,2024,697.35
12003,2021,240.86
12003,2022,303.15
12003,2023,325.09
12003,2024,320.14
12005,2021,768.4
12005,2022,926.74
12005,2023,1011.82
12005,2024,1003.29
12007,2021,259.38
12007,2022,314.94
12007,2023,346.93
12007,2024,356.35
12009,2021,667.15
12009,2022,828.72
12009,2023,890.99
12009,2024,898.47
12011,2021,678.09
12011,2022,831.72
12011,2023,922.75
12011,2024,975.83
12013,2021,215.86
12013,2022,252.07
12013,2023,339.63
12013,2024,310.84
12015,2021,523.8
12015,2022,683.36
12015,2023,732.31
