zip,county_fips5,yr,hpi_change,hpi,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,unemployment_rate,prop_rate,county_fips,home_purchase_per_cap,amt_purchase_per_cap,Earned Prem,Earned Exp,prem_per_unit
90230,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90231,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90232,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90239,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90240,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90241,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90242,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90245,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90247,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90248,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90249,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90250,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90251,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90254,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90255,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90260,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90262,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90263,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90264,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90265,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90266,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90267,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90270,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90272,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90274,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90275,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90277,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90278,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
