cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
11260,"Anchorage, AK",02020,Anchorage Municipality,Alaska,"Anchorage, AK",11260,2024,320.875,302.95500000000004,17.91999999999996,5.915069894868852
11260,"Anchorage, AK",02020,Anchorage Municipality,Alaska,"Anchorage, AK",11260,2025,329.78499999999997,320.875,8.909999999999968,2.7767822360732275
11260,"Anchorage, AK",02170,Matanuska-Susitna Borough,Alaska,"Anchorage, AK",11260,2022,286.2575,257.495,28.76249999999999,11.170119808151613
11260,"Anchorage, AK",02170,Matanuska-Susitna Borough,Alaska,"Anchorage, AK",11260,2023,302.95500000000004,286.2575,16.697500000000048,5.833034942315929
11260,"Anchorage, AK",02170,Matanuska-Susitna Borough,Alaska,"Anchorage, AK",11260,2024,320.875,302.95500000000004,17.91999999999996,5.915069894868852
11260,"Anchorage, AK",02170,Matanuska-Susitna Borough,Alaska,"Anchorage, AK",11260,2025,329.78499999999997,320.875,8.909999999999968,2.7767822360732275
11460,"Ann Arbor, MI",26161,Washtenaw County,Michigan,"Ann Arbor, MI",11460,2022,278.125,246.0125,32.11250000000001,13.053198516335552
11460,"Ann Arbor, MI",26161,Washtenaw County,Michigan,"Ann Arbor, MI",11460,2023,293.875,278.125,15.75,5.662921348314609
11460,"Ann Arbor, MI",26161,Washtenaw County,Michigan,"Ann Arbor, MI",11460,2024,314.365,293.875,20.49000000000001,6.972352190557207
11460,"Ann Arbor, MI",26161,Washtenaw County,Michigan,"Ann Arbor, MI",11460,2025,326.885,314.365,12.519999999999982,3.9826316542872053
11500,"Anniston-Oxford, AL",01015,Calhoun County,Alabama,"Anniston-Oxford, AL",11500,2022,243.6425,208.04,35.60250000000002,17.113295520092308
11500,"Anniston-Oxford, AL",01015,Calhoun County,Alabama,"Anniston-Oxford, AL",11500,2023,261.2475,243.6425,17.60499999999999,7.225750843961953
11500,"Anniston-Oxford, AL",01015,Calhoun County,Alabama,"Anniston-Oxford, AL",11500,2024,274.045,261.2475,12.797500000000014,4.898611469966219
11500,"Anniston-Oxford, AL",01015,Calhoun County,Alabama,"Anniston-Oxford, AL",11500,2025,276.03,274.045,1.9849999999999568,0.7243335948475371
