"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"17061",89,4523000
2000,"17063",622,67412000
2000,"17065",17,815000
2000,"17067",43,2385000
2000,"17069",10,601000
2000,"17071",19,818000
2000,"17073",688,47980000
2000,"17075",164,11547000
2000,"17077",211,14663000
2000,"17079",24,1096000
2000,"17081",245,14444000
2000,"17083",244,17588000
2000,"17085",116,9509000
2000,"17087",71,4366000
2000,"17089",9989,1529838000
2000,"17091",1233,111613000
2000,"17093",1710,235563000
2000,"17095",409,25778000
2000,"17097",14174,2644609000
2000,"17099",880,73859000
2000,"17101",102,5601000
2000,"17103",261,18282000
2000,"17105",146,10870000
2000,"17107",190,11592000
2000,"17109",109,6774000
2000,"17111",7059,1066239000
2000,"17113",2896,274552000
2000,"17115",1655,136442000
2000,"17117",308,20733000
2000,"17119",4071,348425000
2000,"17121",276,13951000
2000,"17123",75,4713000
2000,"17125",81,3885000
2000,"17127",84,4624000
2000,"17129",186,13642000
2000,"17131",104,7696000
2000,"17133",505,57996000
2000,"17135",108,5571000
2000,"17137",222,14142000
2000,"17139",104,7171000
2000,"17141",599,57029000
2000,"17143",2714,239475000
2000,"17145",97,5308000
2000,"17147",124,10463000
2000,"17149",48,2408000
2000,"17151",15,915000
2000,"17153",23,881000
2000,"17155",42,3464000
2000,"17157",174,10013000
2000,"17159",41,2671000
2000,"17161",1872,136891000
2000,"17163",3691,332211000
2000,"17165",137,5795000
2000,"17167",3190,257089000
2000,"17169",20,1014000
2000,"17171",29,1510000
2000,"17173",132,7704000
2000,"17175",48,2675000
2000,"17177",382,35530000
2000,"17179",1969,170817000
2000,"17181",71,3133000
2000,"17183",437,25246000
2000,"17185",103,5590000
2000,"17187",120,7049000
2000,"17189",77,5416000
2000,"17191",35,1614000
2000,"17193",73,2790000
2000,"17195",405,26135000
2000,"17197",14346,2041190000
2000,"17199",362,24481000
2000,"17201",4718,398653000
2000,"17203",483,47068000
2000,"18001",427,31639000
2000,"18003",6103,580901000
2000,"18005",1095,106863000
2000,"18007",87,5721000
2000,"18009",117,6864000
2000,"18011",936,159094000
2000,"18013",164,16739000
2000,"18015",237,19216000
2000,"18017",352,24014000
