IBRC_Geo_ID,Year,Total Population
1085,2001,13329
1085,2002,13231
1085,2003,12996
1085,2004,12623
1085,2005,12397
1085,2006,12124
1085,2007,11973
1085,2008,11813
1085,2009,11486
1085,2010,11294
1085,2011,11144
1085,2012,10857
1085,2013,10666
1085,2014,10497
1085,2015,10350
1085,2016,10245
1085,2017,10100
1085,2018,9969
1085,2019,9726
1085,2020,10284
1085,2021,9936
1085,2022,9778
1085,2023,9682
1085,2024,9485
1087,2000,24047
1087,2001,23925
1087,2002,23563
1087,2003,23110
1087,2004,22685
1087,2005,22388
1087,2006,22227
1087,2007,21942
1087,2008,21597
1087,2009,21190
1087,2010,21515
1087,2011,21299
1087,2012,20625
1087,2013,20043
1087,2014,19670
1087,2015,19331
1087,2016,19077
1087,2017,18828
1087,2018,18320
1087,2019,18065
1087,2020,19472
1087,2021,18917
1087,2022,18561
1087,2023,18347
1087,2024,18159
1089,2000,278006
1089,2001,281517
1089,2002,286439
1089,2003,291342
1089,2004,295655
1089,2005,301474
1089,2006,309170
1089,2007,315859
1089,2008,323526
1089,2009,330856
1089,2010,336114
1089,2011,339623
1089,2012,342823
1089,2013,346764
1089,2014,349973
1089,2015,353194
1089,2016,356985
1089,2017,362061
1089,2018,367386
1089,2019,372547
1089,2020,390527
1089,2021,396663
1089,2022,404155
1089,2023,413891
1089,2024,423355
1091,2000,22564
1091,2001,22203
1091,2002,22217
1091,2003,22025
1091,2004,21777
1091,2005,21569
1091,2006,21531
1091,2007,21475
1091,2008,21331
1091,2009,21170
1091,2010,20955
1091,2011,20663
1091,2012,20378
1091,2013,20123
1091,2014,19990
1091,2015,19772
1091,2016,19536
1091,2017,19411
1091,2018,19093
1091,2019,18919
1091,2020,19271
1091,2021,18978
1091,2022,18790
1091,2023,18705
1091,2024,18512
1093,2000,31137
1093,2001,30777
1093,2002,30608
1093,2003,30554
1093,2004,30516
1093,2005,30494
1093,2006,30779
1093,2007,30849
1093,2008,30918
1093,2009,30646
1093,2010,30822
1093,2011,30661
1093,2012,30495
1093,2013,30236
1093,2014,30215
1093,2015,30137
1093,2016,29958
1093,2017,29825
1093,2018,29776
1093,2019,29826
1093,2020,29175
1093,2021,28972
1093,2022,29171
1093,2023,29279
1093,2024,29323
1095,2000,82429
1095,2001,82477
1095,2002,83417
1095,2003,84348
1095,2004,85131
1095,2005,86516
1095,2006,88209
1095,2007,89605
1095,2008,91072
1095,2009,92213
1095,2010,93119
1095,2011,93899
1095,2012,94264
1095,2013,94358
1095,2014,94262
1095,2015,94588
1095,2016,95123
1095,2017,95589
1095,2018,96230
1095,2019,96751
1095,2020,97706
1095,2021,98268
1095,2022,99570
1095,2023,101041
1095,2024,102156
1097,2000,400073
1097,2001,400129
1097,2002,398549
1097,2003,398082
1097,2004,397959
1097,2005,398942
1097,2006,402916
1097,2007,405715
1097,2008,409196
1097,2009,411994
1097,2010,413328
1097,2011,413126
1097,2012,413893
1097,2013,414025
1097,2014,414298
1097,2015,414654
1097,2016,415169
1097,2017,414209
1097,2018,414275
1097,2019,413516
1097,2020,414409
1097,2021,413164
1097,2022,411291
1097,2023,411745
1097,2024,412339
1099,2000,24319
1099,2001,24120
1099,2002,24022
1099,2003,23853
1099,2004,23769
1099,2005,23683
1099,2006,23602
1099,2007,23437
1099,2008,23393
1099,2009,23218
1099,2010,23004
1099,2011,22799
1099,2012,22582
1099,2013,22174
1099,2014,21927
1099,2015,21720
1099,2016,21553
1099,2017,21294
1099,2018,21035
1099,2019,20689
1099,2020,19704
1099,2021,19530
1099,2022,19403
1099,2023,19244
1099,2024,19057
1101,2000,223428
1101,2001,223048
1101,2002,223185
1101,2003,222680
1101,2004,223002
1101,2005,223608
1101,2006,227291
1101,2007,227888
1101,2008,227461
1101,2009,227607
1101,2010,229498
1101,2011,229218
1101,2012,228923
1101,2013,228261
1101,2014,227647
1101,2015,227420
1101,2016,227398
1101,2017,227514
1101,2018,226631
1101,2019,226074
1101,2020,228363
1101,2021,226811
1101,2022,226554
1101,2023,225966
1101,2024,225894
1103,2000,111221
1103,2001,111682
1103,2002,111766
1103,2003,112898
1103,2004,113006
1103,2005,113964
1103,2006,115491
1103,2007,116397
1103,2008,117694
1103,2009,118954
1103,2010,119642
1103,2011,120058
1103,2012,120148
1103,2013,119625
1103,2014,119496
1103,2015,119316
1103,2016,119090
1103,2017,118940
1103,2018,119216
1103,2019,119630
1103,2020,123329
1103,2021,123270
1103,2022,124218
1103,2023,125455
1103,2024,126084
1105,2000,11809
1105,2001,11645
1105,2002,11549
1105,2003,11301
1105,2004,11153
1105,2005,10881
1105,2006,10677
1105,2007,10774
1105,2008,10722
1105,2009,10690
1105,2010,10564
1105,2011,10452
1105,2012,10166
1105,2013,10005
1105,2014,9809
1105,2015,9650
1105,2016,9538
1105,2017,9304
1105,2018,9049
1105,2019,8940
1105,2020,8456
1105,2021,8314
1105,2022,7893
1105,2023,7772
1105,2024,7719
1107,2000,20881
1107,2001,20873
1107,2002,20835
1107,2003,20527
1107,2004,20380
1107,2005,20192
1107,2006,20128
1107,2007,19989
1107,2008,19951
1107,2009,19814
1107,2010,19749
1107,2011,19357
1107,2012,19314
1107,2013,19309
1107,2014,20283
1107,2015,20788
1107,2016,20337
1107,2017,20224
1107,2018,19949
1107,2019,19940
1107,2020,18962
1107,2021,18615
1107,2022,18780
1107,2023,18741
1107,2024,18508
1109,2000,29748
1109,2001,29844
1109,2002,29695
1109,2003,30050
1109,2004,30593
1109,2005,30772
1109,2006,31309
1109,2007,31761
1109,2008,32149
1109,2009,32560
1109,2010,32972
1109,2011,33031
1109,2012,33225
1109,2013,33728
1109,2014,33217
1109,2015,33518
1109,2016,33540
1109,2017,33441
1109,2018,33390
1109,2019,33034
1109,2020,32904
1109,2021,32748
1109,2022,32998
1109,2023,33163
1109,2024,33124
1111,2000,22377
1111,2001,22465
1111,2002,22464
1111,2003,22359
1111,2004,22525
1111,2005,22658
1111,2006,22695
1111,2007,22662
1111,2008,22946
1111,2009,22864
1111,2010,22937
1111,2011,22751
1111,2012,22541
1111,2013,22558
1111,2014,22362
1111,2015,22603
1111,2016,22515
1111,2017,22702
1111,2018,22742
1111,2019,22781
1111,2020,22093
1111,2021,22157
1111,2022,22442
1111,2023,22789
1111,2024,23067
1113,2000,49805
1113,2001,49622
1113,2002,49489
1113,2003,49065
1113,2004,49498
1113,2005,49731
1113,2006,50459
1113,2007,51074
1113,2008,51434
1113,2009,52162
1113,2010,53327
1113,2011,54884
1113,2012,57549
1113,2013,59219
1113,2014,59310
1113,2015,58946
1113,2016,58290
1113,2017,57134
1113,2018,57933
1113,2019,58098
1113,2020,59252
1113,2021,58651
1113,2022,58522
1113,2023,58792
1113,2024,58837
1115,2000,65080
1115,2001,66093
1115,2002,67274
1115,2003,68629
1115,2004,70416
1115,2005,72596
1115,2006,75948
1115,2007,79348
1115,2008,81223
1115,2009,83009
1115,2010,83587
1115,2011,83992
1115,2012,84779
1115,2013,85831
1115,2014,86014
1115,2015,86569
1115,2016,87342
1115,2017,87985
1115,2018,88842
1115,2019,89735
1115,2020,91687
1115,2021,92850
1115,2022,93879
1115,2023,95487
1115,2024,96927
1117,2000,144674
1117,2001,149358
1117,2002,153976
1117,2003,159704
1117,2004,165757
1117,2005,171691
1117,2006,178841
1117,2007,183491
1117,2008,188534
1117,2009,192708
1117,2010,196036
1117,2011,197968
1117,2012,200949
1117,2013,204088
1117,2014,206346
1117,2015,209047
1117,2016,211538
1117,2017,213854
1117,2018,215877
1117,2019,218176
1117,2020,223915
1117,2021,227436
1117,2022,230140
1117,2023,233593
1117,2024,235969
1119,2000,14746
1119,2001,14630
1119,2002,14376
1119,2003,14329
1119,2004,14324
1119,2005,14143
1119,2006,14059
1119,2007,13926
1119,2008,13882
1119,2009,13746
1119,2010,13730
1119,2011,13491
1119,2012,13444
1119,2013,13398
1119,2014,13276
1119,2015,13212
1119,2016,12973
1119,2017,12756
1119,2018,12661
1119,2019,12358
1119,2020,12192
1119,2021,11960
1119,2022,11894
1119,2023,11737
1119,2024,11607
1121,2000,80772
1121,2001,80939
1121,2002,81095
1121,2003,80900
1121,2004,81139
1121,2005,81546
1121,2006,81991
1121,2007,82226
1121,2008,82735
1121,2009,82674
1121,2010,82175
1121,2011,81875
